Check Num,Opened,Closed,Revenue Center,Server,Item,Menu Group,Qty,Item Price,Net Amount,Tax,Tip,Payment Method
100001,2026-01-23 20:23:00,2026-01-23 21:57:00,Bar,Jake Patterson,Gin & Tonic,Well Drinks,1,9.00,9.00,3.71,9.29,Cash
100001,2026-01-23 20:23:00,2026-01-23 21:57:00,Bar,Jake Patterson,Guinness Draft,Beer,2,8.50,17.00,3.71,9.29,Cash
100001,2026-01-23 20:23:00,2026-01-23 21:57:00,Bar,Jake Patterson,Shot - Tequila,Spirits,3,9.00,27.00,3.71,9.29,Cash
100002,2026-01-23 11:51:00,2026-01-22 12:32:00,Bar,Jasmine Chen,Long Island,Cocktails,1,14.00,12.31,6.47,17.00,Discover
100002,2026-01-23 11:51:00,2026-01-22 12:32:00,Bar,Jasmine Chen,Margarita,Cocktails,3,13.00,39.00,6.47,17.00,Discover
100002,2026-01-23 11:51:00,2026-01-22 12:32:00,Bar,Jasmine Chen,Prosecco,Wine,2,11.00,19.06,6.47,17.00,Discover
100002,2026-01-23 11:51:00,2026-01-22 12:32:00,Bar,Jasmine Chen,Mozzarella Sticks,Food,2,11.00,22.00,6.47,17.00,Discover
100003,2026-01-23 18:25:00,2026-01-23 19:58:00,Bar,Katie Brown,Pretzel Bites,Food,1,12.00,12.00,3.43,10.36,Visa
100003,2026-01-23 18:25:00,2026-01-23 19:58:00,Bar,Katie Brown,Shot - Jameson,Spirits,1,8.00,8.00,3.43,10.36,Visa
100003,2026-01-23 18:25:00,2026-01-23 19:58:00,Bar,Katie Brown,White Claw,Beer,2,7.00,14.00,3.43,10.36,Visa
100003,2026-01-23 18:25:00,2026-01-23 19:58:00,Bar,Katie Brown,Bud Light,Beer,1,6.00,6.00,3.43,10.36,Visa
100003,2026-01-23 18:25:00,2026-01-23 19:58:00,Bar,Katie Brown,Vodka Soda,Well Drinks,1,9.00,9.00,3.43,10.36,Visa
100004,2026-01-23 14:02:00,2026-01-22 15:12:00,Bar,Sofia Martinez,Prosecco,Wine,3,11.00,33.00,2.31,5.90,Mastercard
100005,2026-01-23 19:17:00,2026-01-23 20:16:00,Bar,Aisha Williams,White Claw,Beer,3,7.00,21.00,10.50,24.16,Visa
100005,2026-01-23 19:17:00,2026-01-23 20:16:00,Bar,Aisha Williams,Vodka Soda,Well Drinks,2,9.00,18.00,10.50,24.16,Visa
100005,2026-01-23 19:17:00,2026-01-23 20:16:00,Bar,Aisha Williams,Burger,Food,3,16.00,48.00,10.50,24.16,Visa
100005,2026-01-23 19:17:00,2026-01-23 20:16:00,Bar,Aisha Williams,Wings Basket,Food,3,15.00,45.00,10.50,24.16,Visa
100005,2026-01-23 19:17:00,2026-01-23 20:16:00,Bar,Aisha Williams,Rum & Coke,Well Drinks,2,9.00,18.00,10.50,24.16,Visa
100006,2026-01-23 12:19:00,2026-01-22 12:43:00,Bar,Aisha Williams,Fish Tacos,Food,2,15.00,30.00,3.01,8.21,Mastercard
100006,2026-01-23 12:19:00,2026-01-22 12:43:00,Bar,Aisha Williams,Margarita,Cocktails,1,13.00,13.00,3.01,8.21,Mastercard
100007,2026-01-23 20:33:00,2026-01-23 20:55:00,Bar,Marcus Rivera,Gin & Tonic,Well Drinks,1,9.00,9.00,3.01,10.42,Visa
100007,2026-01-23 20:33:00,2026-01-23 20:55:00,Bar,Marcus Rivera,Vodka Soda,Well Drinks,1,9.00,9.00,3.01,10.42,Visa
100007,2026-01-23 20:33:00,2026-01-23 20:55:00,Bar,Marcus Rivera,Mozzarella Sticks,Food,1,11.00,11.00,3.01,10.42,Visa
100007,2026-01-23 20:33:00,2026-01-23 20:55:00,Bar,Marcus Rivera,Loaded Nachos,Food,1,14.00,14.00,3.01,10.42,Visa
100008,2026-01-23 15:44:00,2026-01-22 17:39:00,Bar,Jake Patterson,Guinness Draft,Beer,2,8.50,17.00,1.19,3.47,Cash
100009,2026-01-23 23:50:00,2026-01-23 01:31:00,Bar,Tony Garcia,Burger,Food,1,16.00,16.00,6.72,20.08,Cash
100009,2026-01-23 23:50:00,2026-01-23 01:31:00,Bar,Tony Garcia,Guinness Draft,Beer,2,8.50,17.00,6.72,20.08,Cash
100009,2026-01-23 23:50:00,2026-01-23 01:31:00,Bar,Tony Garcia,Mozzarella Sticks,Food,3,11.00,33.00,6.72,20.08,Cash
100009,2026-01-23 23:50:00,2026-01-23 01:31:00,Bar,Tony Garcia,Fish Tacos,Food,2,15.00,30.00,6.72,20.08,Cash
100010,2026-01-23 21:41:00,2026-01-23 23:32:00,Bar,Marcus Rivera,Bud Light,Beer,2,6.00,12.00,1.89,4.78,Mastercard
100010,2026-01-23 21:41:00,2026-01-23 23:32:00,Bar,Marcus Rivera,Espresso Martini,Cocktails,1,15.00,15.00,1.89,4.78,Mastercard
100011,2026-01-23 15:27:00,2026-01-22 17:09:00,Bar,Tyler Brooks,Fish Tacos,Food,1,15.00,15.00,3.57,8.10,Visa
100011,2026-01-23 15:27:00,2026-01-22 17:09:00,Bar,Tyler Brooks,Moscow Mule,Cocktails,3,12.00,36.00,3.57,8.10,Visa
100012,2026-01-23 19:56:00,2026-01-23 20:42:00,Bar,Jake Patterson,Loaded Nachos,Food,1,14.00,14.00,6.16,21.74,Amex
100012,2026-01-23 19:56:00,2026-01-23 20:42:00,Bar,Jake Patterson,Margarita,Cocktails,3,13.00,39.00,6.16,21.74,Amex
100012,2026-01-23 19:56:00,2026-01-23 20:42:00,Bar,Jake Patterson,Prosecco,Wine,1,11.00,11.00,6.16,21.74,Amex
