Business Date,Employee ID,Employee Name,Job Title,Revenue Center,Shift,Clock In,Clock Out,Hours Worked,Cash Tips,CC Tips,Total Tips,Tip Out Given,Tip Out Received,Net Tips,Tips Per Hour,Checks Served,Net Sales,Tip Pct
2026-01-23,EMP-001,Sofia Martinez,Bartender,Bar,AM,11:00,17:00,6.4,78.99,171.16,250.15,37.52,0,212.63,33.03,27,1196.91,20.9
2026-01-23,EMP-008,Aisha Williams,Server,Bar,AM,11:00,17:00,6.5,44.21,163.29,207.5,0,0,207.5,31.97,21,1012.2,20.5
2026-01-23,EMP-010,Katie Brown,Server,Bar,AM,11:00,17:00,5.8,16.2,84.19,100.39,0,0,100.39,17.26,12,567.16,17.7
2026-01-23,EMP-015,Becca Thompson,Bartender,Bar,AM,11:00,17:00,5.9,83.14,196.77,279.91,41.99,0,237.92,40.36,45,1420.86,19.7
2026-01-23,EMP-021,Zoe Henderson,Bartender,Bar,AM,11:00,17:00,6.4,25.12,141.83,166.95,25.04,0,141.91,22.18,24,937.93,17.8
2026-01-23,EMP-023,Kayla Murphy,Bartender,Bar,AM,11:00,17:00,5.6,55.93,154.66,210.59,31.59,0,179.0,31.91,35,944.34,22.3
2026-01-23,EMP-024,Trey Adams,Bartender,Bar,AM,11:00,17:00,6.0,67.44,126.51,193.95,29.09,0,164.86,27.34,19,846.96,22.9
2026-01-23,EMP-029,Jordan Blake,Lead Bartender,Bar,AM,11:00,17:00,5.6,35.81,189.06,224.87,33.73,0,191.14,34.06,24,1147.28,19.6
2026-01-23,EMP-033,Devon Marshall,Barback,Bar,AM,11:00,17:00,5.7,65.39,159.84,225.23,0,177.79,403.02,70.97,28,1160.96,19.4
2026-01-23,EMP-038,Brandon Long,Barback,Bar,AM,11:00,17:00,6.0,71.3,132.49,203.79,0,114.83,318.62,52.76,45,1151.38,17.7
2026-01-23,EMP-047,Kevin Walsh,Lead Bartender,Bar,AM,11:00,17:00,6.4,55.36,163.63,218.99,32.85,0,186.14,29.18,49,1311.34,16.7
2026-01-23,EMP-001,Sofia Martinez,Bartender,Bar,PM,16:00,01:00,7.7,156.5,433.24,589.74,88.46,0,501.28,65.11,84,2564.1,23.0
2026-01-23,EMP-004,Jake Patterson,Bartender,Bar,PM,16:00,01:00,9.5,61.3,187.41,248.71,37.31,0,211.4,22.3,45,1275.44,19.5
2026-01-23,EMP-005,Tyler Brooks,Lead Bartender,Bar,PM,16:00,01:00,7.9,147.24,291.23,438.47,65.77,0,372.7,47.46,60,2463.33,17.8
2026-01-23,EMP-006,Ryan Okafor,Barback,Bar,PM,16:00,01:00,8.9,58.99,213.87,272.86,0,92.85,365.71,40.91,59,1684.3,16.2
2026-01-23,EMP-010,Katie Brown,Server,Bar,PM,16:00,01:00,8.7,77.25,215.6,292.85,0,0,292.85,33.55,48,1743.17,16.8
2026-01-23,EMP-015,Becca Thompson,Bartender,Bar,PM,16:00,01:00,8.2,167.07,452.93,620.0,93.0,0,527.0,64.32,110,3690.46,16.8
2026-01-23,EMP-017,Megan Russo,Bartender,Bar,PM,16:00,01:00,7.3,120.34,280.74,401.08,60.16,0,340.92,46.74,45,2203.74,18.2
2026-01-23,EMP-018,Cole Jenkins,Bartender,Bar,PM,16:00,01:00,7.7,105.42,471.31,576.73,86.51,0,490.22,63.65,48,2403.06,24.0
2026-01-23,EMP-021,Zoe Henderson,Bartender,Bar,PM,16:00,01:00,6.4,104.29,276.06,380.35,57.05,0,323.3,50.87,46,2305.17,16.5
2026-01-23,EMP-022,Nate Fitzgerald,Bartender,Bar,PM,16:00,01:00,7.3,70.44,396.29,466.73,70.01,0,396.72,54.2,50,1969.32,23.7
2026-01-23,EMP-024,Trey Adams,Bartender,Bar,PM,16:00,01:00,9.4,49.76,198.53,248.29,37.24,0,211.05,22.51,46,1223.1,20.3
2026-01-23,EMP-026,Dylan Morales,Bartender,Bar,PM,16:00,01:00,6.1,132.05,290.07,422.12,63.32,0,358.8,58.53,63,2542.92,16.6
2026-01-23,EMP-028,Caleb Stewart,Bartender,Bar,PM,16:00,01:00,9.1,93.36,319.52,412.88,61.93,0,350.95,38.73,55,1985.01,20.8
2026-01-23,EMP-033,Devon Marshall,Barback,Bar,PM,16:00,01:00,6.5,127.84,312.98,440.82,0,113.24,554.06,85.84,54,2395.74,18.4
2026-01-23,EMP-034,Jalen Cooper,Barback,Bar,PM,16:00,01:00,9.5,108.22,243.85,352.07,0,103.04,455.11,47.94,47,2286.15,15.4
2026-01-23,EMP-038,Brandon Long,Barback,Bar,PM,16:00,01:00,8.8,68.89,382.71,451.6,0,180.8,632.4,71.58,99,2495.03,18.1
2026-01-23,EMP-040,Noah Foster,Server,Bar,PM,16:00,01:00,9.3,90.44,184.8,275.24,0,0,275.24,29.74,41,1628.61,16.9
2026-01-23,EMP-041,Emma Sullivan,Server,Bar,PM,16:00,01:00,8.4,133.12,314.8,447.92,0,0,447.92,53.51,57,2122.86,21.1
2026-01-23,EMP-047,Kevin Walsh,Lead Bartender,Bar,PM,16:00,01:00,6.6,108.07,377.48,485.55,72.83,0,412.72,62.47,69,2187.16,22.2
2026-01-23,EMP-050,Taylor Quinn,Bartender,Bar,PM,16:00,01:00,5.8,104.46,329.19,433.65,65.05,0,368.6,63.54,40,1869.17,23.2
2026-01-23,EMP-002,Marcus Rivera,Bartender,Bar,Late,20:00,02:00,6.7,80.4,371.66,452.06,67.81,0,384.25,57.07,42,2018.11,22.4
2026-01-23,EMP-003,Jasmine Chen,Bartender,Bar,Late,20:00,02:00,5.9,122.16,332.42,454.58,68.19,0,386.39,65.37,48,1967.88,23.1
2026-01-23,EMP-004,Jake Patterson,Bartender,Bar,Late,20:00,02:00,9.0,60.32,286.9,347.22,52.08,0,295.14,32.95,60,1543.22,22.5
2026-01-23,EMP-006,Ryan Okafor,Barback,Bar,Late,20:00,02:00,8.7,106.31,252.06,358.37,0,207.47,565.84,64.97,67,1876.29,19.1
2026-01-23,EMP-009,Tony Garcia,Server,Bar,Late,20:00,02:00,7.3,95.77,218.77,314.54,0,0,314.54,42.85,54,1404.21,22.4
2026-01-23,EMP-010,Katie Brown,Server,Bar,Late,20:00,02:00,9.0,65.53,230.03,295.56,0,0,295.56,33.0,46,1623.98,18.2
2026-01-23,EMP-016,Drew Collins,Bartender,Bar,Late,20:00,02:00,6.2,143.2,292.95,436.15,65.42,0,370.73,59.66,67,2409.65,18.1
2026-01-23,EMP-018,Cole Jenkins,Bartender,Bar,Late,20:00,02:00,7.5,128.63,301.48,430.11,64.52,0,365.59,48.45,48,2087.89,20.6
2026-01-23,EMP-019,Hailey Nguyen,Bartender,Bar,Late,20:00,02:00,7.7,83.37,302.85,386.22,57.93,0,328.29,42.89,51,1763.56,21.9
2026-01-23,EMP-020,Logan Scott,Bartender,Bar,Late,20:00,02:00,6.8,63.34,244.08,307.42,46.11,0,261.31,38.31,41,1348.32,22.8
2026-01-23,EMP-021,Zoe Henderson,Bartender,Bar,Late,20:00,02:00,7.1,73.0,201.51,274.51,41.18,0,233.33,32.82,33,1614.76,17.0
2026-01-23,EMP-025,Maddie Turner,Bartender,Bar,Late,20:00,02:00,5.5,58.22,190.56,248.78,37.32,0,211.46,38.44,30,1282.39,19.4
2026-01-23,EMP-027,Lexi Harper,Bartender,Bar,Late,20:00,02:00,7.4,70.41,152.35,222.76,33.41,0,189.35,25.61,36,994.48,22.4
2026-01-23,EMP-030,Samantha Reed,Lead Bartender,Bar,Late,20:00,02:00,8.5,136.17,302.84,439.01,65.85,0,373.16,43.88,96,2466.33,17.8
2026-01-23,EMP-032,Olivia Price,Lead Bartender,Bar,Late,20:00,02:00,8.9,74.58,258.31,332.89,49.93,0,282.96,31.8,57,1724.83,19.3
2026-01-23,EMP-035,Isaac Bell,Barback,Bar,Late,20:00,02:00,5.5,76.24,155.71,231.95,0,135.03,366.98,66.46,41,1227.24,18.9
2026-01-23,EMP-039,Paige Ramirez,Server,Bar,Late,20:00,02:00,8.9,99.28,359.3,458.58,0,0,458.58,51.56,41,2047.21,22.4
2026-01-24,EMP-001,Sofia Martinez,Bartender,Bar,AM,11:00,17:00,6.1,56.98,196.67,253.65,38.05,0,215.6,35.13,39,1255.7,20.2
2026-01-24,EMP-003,Jasmine Chen,Bartender,Bar,AM,11:00,17:00,5.8,55.77,117.26,173.03,25.95,0,147.08,25.48,27,852.35,20.3
2026-01-24,EMP-015,Becca Thompson,Bartender,Bar,AM,11:00,17:00,6.0,51.65,142.53,194.18,29.13,0,165.05,27.31,23,1097.06,17.7
2026-01-24,EMP-024,Trey Adams,Bartender,Bar,AM,11:00,17:00,5.9,15.46,81.6,97.06,14.56,0,82.5,14.1,12,425.71,22.8
2026-01-24,EMP-032,Olivia Price,Lead Bartender,Bar,AM,11:00,17:00,5.9,34.48,126.5,160.98,24.15,0,136.83,23.05,24,860.83,18.7
2026-01-24,EMP-033,Devon Marshall,Barback,Bar,AM,11:00,17:00,5.6,41.79,112.32,154.11,0,162.88,316.99,56.33,39,1020.6,15.1
2026-01-24,EMP-038,Brandon Long,Barback,Bar,AM,11:00,17:00,5.6,41.61,104.57,146.18,0,202.25,348.43,62.78,26,907.98,16.1
2026-01-24,EMP-043,Liam Hayes,Server,Bar,AM,11:00,17:00,5.5,44.47,114.36,158.83,0,0,158.83,28.78,16,661.8,24.0
